num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5153	5664.225706	115.319861	-1.436026	4.260683	50.119031
5155	5666.284364	115.354362	-1.465854	4.260889	48.996288
5157	5668.343695	115.223597	-1.494650	4.261051	47.772680
5159	5670.402658	114.926956	-1.480299	4.262022	47.827994
5161	5672.461827	115.063070	-1.498621	4.261860	48.833560
5163	5674.521088	114.749514	-1.508276	4.261192	49.053333
5165	5676.579178	113.226112	0.069939	4.253238	50.019016
5167	5678.637446	112.930816	0.065011	4.253322	48.635338
5169	5680.695964	114.591681	-1.641769	4.255554	48.306432
5171	5682.753822	113.023907	0.067491	4.251919	49.277252
5173	5684.812638	114.342677	-1.660040	4.254506	46.603321
5175	5686.870771	114.531087	-1.715283	4.254644	50.153869
5177	5688.929693	113.551197	-1.694446	4.254009	46.739613
5179	5690.988188	113.620666	-1.793307	4.252885	48.853352
5181	5693.046291	113.539793	-1.765684	4.253900	46.876128
5183	5695.104448	113.409803	-1.833315	4.254551	48.337196
5185	5697.162174	113.517184	-1.887204	4.254481	47.606933
5187	5699.219493	113.898310	-1.908861	4.254562	47.247658
5189	5701.277718	113.302981	-1.931876	4.253988	46.875499
5191	5703.335476	113.155724	-1.970866	4.250334	46.994992
5193	5705.394342	112.439034	-1.906546	4.252498	47.264018
5195	5707.452962	112.685476	-2.007599	4.250285	47.761568
5197	5709.512165	112.746523	-2.009928	4.249886	47.166906
5199	5711.571187	112.255691	-2.042312	4.247583	46.414465
5201	5713.630037	112.112387	-2.032802	4.247645	45.633182
5203	5715.688616	112.104333	-1.993423	4.247954	45.623036
5205	5717.747255	111.801707	-2.080622	4.247440	47.339883
5207	5719.805224	111.760682	-2.131284	4.247224	46.013071
5209	5721.864009	111.301935	-2.048861	4.247211	44.680814
5211	5723.922334	111.477626	-2.178765	4.245459	45.611705
5213	5725.980844	111.009429	-2.180674	4.244794	45.476436
5215	5728.039064	110.976360	-2.228858	4.243808	46.457287
5217	5730.097105	111.329017	-2.192984	4.243550	44.963483
5219	5732.154736	110.760563	-2.275007	4.242447	43.844441
5221	5734.212960	110.650431	-2.223768	4.242556	44.878906
5223	5736.270005	110.635681	-2.340880	4.240606	46.173441
5225	5738.328317	110.132607	-2.419846	4.238355	44.948731
5227	5740.386259	109.921705	-2.297676	4.240141	45.770046
5229	5742.444767	110.032743	-2.389438	4.238912	44.469556
5231	5744.503328	109.806740	-2.362766	4.239808	44.692504
5233	5746.562305	110.376070	-2.425414	4.238757	44.367771
5235	5748.621192	109.747230	-2.415079	4.239463	43.029065
5237	5750.679979	109.679502	-2.434064	4.239107	44.037492
5239	5752.738734	109.330399	-2.472615	4.236858	44.148741
5241	5754.797247	109.292690	-2.495466	4.235340	44.627761
5243	5756.855313	108.972220	-2.417327	4.235511	43.062747
5245	5758.913907	109.072398	-2.477554	4.234440	43.522234
5247	5760.972095	108.569602	-2.591165	4.230703	43.186210
5249	5763.030553	108.526422	-2.469651	4.232603	43.425801
5251	5765.088429	108.649416	-2.535200	4.231590	44.199493
5253	5767.146991	108.745142	-2.604999	4.231329	42.940765
5255	5769.204418	108.412277	-2.610152	4.230936	44.105550
5257	5771.263074	108.364318	-2.651441	4.230723	44.141273
5259	5773.320424	108.220745	-2.621194	4.231173	42.707434
5261	5775.378083	108.134874	-2.632535	4.230934	43.786809
5263	5777.435664	108.025484	-2.707317	4.228154	43.639116
5265	5779.493162	107.653091	-2.717963	4.227860	41.574082
5267	5781.551602	107.545791	-2.733898	4.227011	43.165083
5269	5783.610063	107.668309	-2.775150	4.225746	42.539995
5271	5785.668995	107.291280	-2.806114	4.223993	43.030014
5273	5787.726975	107.552355	-2.856657	4.221671	41.864018
5275	5789.786140	107.259239	-2.848229	4.221477	43.055380
5277	5791.844419	106.785750	-2.848678	4.220846	41.845259
5279	5793.903281	106.619005	-2.783781	4.220235	41.076366
5281	5795.961661	106.706599	-2.869839	4.219112	41.715973
5283	5798.019857	106.724443	-2.996106	4.217522	42.091608
5285	5800.078388	106.265562	-2.980747	4.217793	41.529789
5287	5802.136248	106.061608	-2.966720	4.217081	42.865230
5289	5804.194633	105.873350	-2.965419	4.216267	41.199579
5291	5806.252762	105.910410	-3.045664	4.215498	41.495828
5293	5808.310534	105.961716	-3.077386	4.215351	41.297693
5295	5810.368477	105.906497	-3.135341	4.213827	41.319990
5297	5812.426309	105.844728	-3.109947	4.213471	40.122215
5299	5814.483670	105.687312	-3.184101	4.211851	41.279061
5301	5816.541624	105.298409	-3.172732	4.211928	41.374528
5303	5818.599579	105.431138	-3.201937	4.210634	39.908663
5305	5820.657797	104.873451	-3.216622	4.209721	40.923231
5307	5822.716056	105.098116	-3.227351	4.209590	41.552890
5309	5824.774377	104.928480	-3.207196	4.209724	41.510363
5311	5826.833051	104.577866	-3.223149	4.209262	40.327333
5313	5828.891736	104.717402	-3.259106	4.208193	40.333057
5315	5830.950941	104.565521	-3.299486	4.207512	38.881391
5317	5833.008853	104.469690	-3.306465	4.207153	39.195263
5319	5835.067526	103.918728	-3.238344	4.207261	40.077950
5321	5837.125763	103.917374	-3.327059	4.204846	40.419277
5323	5839.184203	103.936689	-3.379501	4.203447	39.323510
5325	5841.242455	103.940554	-3.416594	4.201323	39.701917
5327	5843.300210	104.347286	-3.378575	4.203501	40.024359
5329	5845.358306	103.716624	-3.459819	4.200016	39.288394
5331	5847.416163	103.605251	-3.492269	4.197943	39.534002
5333	5849.474108	103.410645	-3.486200	4.199089	39.619631
5335	5851.531471	103.288891	-3.525946	4.197735	38.161692
5337	5853.589386	104.326946	-3.570772	4.196713	38.733609
5339	5855.647162	103.110751	-3.555825	4.196442	39.307425
5341	5857.704738	103.006053	-3.573612	4.195901	38.315471
5343	5859.762380	102.658467	-3.560168	4.195720	39.386499
5345	5861.820721	102.798166	-3.609439	4.192073	37.424699
5347	5863.878098	102.869865	-3.606071	4.193047	38.930443
