crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	49.814861	5153	0.000000
281474976710655.000000	40.252842	5154	0.000000
281474976710655.000000	39.475285	5155	0.000000
281474976710655.000000	55.933868	5156	0.000000
281474976710655.000000	55.219685	5157	0.000000
281474976710655.000000	40.595089	5158	0.000000
281474976710655.000000	48.880562	5159	0.000000
281474976710655.000000	46.930847	5160	0.000000
281474976710655.000000	50.546719	5161	0.000000
281474976710655.000000	37.788799	5162	0.000000
281474976710655.000000	52.554722	5163	0.000000
281474976710655.000000	48.241665	5164	0.000000
281474976710655.000000	54.582478	5165	0.000000
281474976710655.000000	47.484425	5166	0.000000
281474976710655.000000	49.383762	5167	0.000000
281474976710655.000000	40.862633	5168	0.000000
281474976710655.000000	40.850460	5169	0.000000
281474976710655.000000	52.881443	5170	0.000000
281474976710655.000000	35.163132	5171	0.000000
281474976710655.000000	46.513645	5172	0.000000
281474976710655.000000	53.910675	5173	0.000000
281474976710655.000000	53.199871	5174	0.000000
281474976710655.000000	54.207256	5175	0.000000
281474976710655.000000	37.864159	5176	0.000000
281474976710655.000000	49.295944	5177	0.000000
281474976710655.000000	54.055340	5178	0.000000
281474976710655.000000	37.233727	5179	0.000000
281474976710655.000000	64.158104	5180	0.000000
281474976710655.000000	65.564095	5181	0.000000
281474976710655.000000	47.890423	5182	0.000000
281474976710655.000000	46.278038	5183	0.000000
281474976710655.000000	47.602085	5184	0.000000
281474976710655.000000	39.962498	5185	0.000000
281474976710655.000000	48.011429	5186	0.000000
281474976710655.000000	36.923794	5187	0.000000
281474976710655.000000	39.113670	5188	0.000000
281474976710655.000000	44.830727	5189	0.000000
281474976710655.000000	46.791981	5190	0.000000
281474976710655.000000	39.722820	5191	0.000000
281474976710655.000000	38.692547	5192	0.000000
281474976710655.000000	45.991592	5193	0.000000
281474976710655.000000	47.573246	5194	0.000000
281474976710655.000000	36.094387	5195	0.000000
281474976710655.000000	63.465679	5196	0.000000
281474976710655.000000	46.910751	5197	0.000000
281474976710655.000000	44.514076	5198	0.000000
281474976710655.000000	48.959969	5199	0.000000
281474976710655.000000	46.167133	5200	0.000000
281474976710655.000000	44.954536	5201	0.000000
281474976710655.000000	50.971237	5202	0.000000
281474976710655.000000	48.799610	5203	0.000000
281474976710655.000000	46.617325	5204	0.000000
281474976710655.000000	34.470730	5205	0.000000
281474976710655.000000	43.819347	5206	0.000000
281474976710655.000000	51.411770	5207	0.000000
281474976710655.000000	38.582180	5208	0.000000
281474976710655.000000	45.924458	5209	0.000000
281474976710655.000000	37.041153	5210	0.000000
281474976710655.000000	43.606327	5211	0.000000
281474976710655.000000	47.051140	5212	0.000000
281474976710655.000000	51.395309	5213	0.000000
281474976710655.000000	45.401752	5214	0.000000
281474976710655.000000	45.436859	5215	0.000000
281474976710655.000000	40.475166	5216	0.000000
281474976710655.000000	46.188999	5217	0.000000
281474976710655.000000	45.067707	5218	0.000000
281474976710655.000000	42.536858	5219	0.000000
281474976710655.000000	39.452194	5220	0.000000
281474976710655.000000	45.537109	5221	0.000000
281474976710655.000000	44.704197	5222	0.000000
281474976710655.000000	51.041229	5223	0.000000
281474976710655.000000	46.472404	5224	0.000000
281474976710655.000000	38.740597	5225	0.000000
281474976710655.000000	50.048923	5226	0.000000
281474976710655.000000	37.243469	5227	0.000000
281474976710655.000000	38.757843	5228	0.000000
281474976710655.000000	59.847706	5229	0.000000
281474976710655.000000	47.176487	5230	0.000000
281474976710655.000000	60.801224	5231	0.000000
281474976710655.000000	45.780048	5232	0.000000
281474976710655.000000	43.778049	5233	0.000000
281474976710655.000000	45.334064	5234	0.000000
281474976710655.000000	39.543839	5235	0.000000
281474976710655.000000	38.195942	5236	0.000000
281474976710655.000000	44.986023	5237	0.000000
281474976710655.000000	39.167278	5238	0.000000
281474976710655.000000	38.283020	5239	0.000000
281474976710655.000000	46.231060	5240	0.000000
281474976710655.000000	45.374290	5241	0.000000
281474976710655.000000	36.619850	5242	0.000000
281474976710655.000000	33.901882	5243	0.000000
281474976710655.000000	38.483093	5244	0.000000
281474976710655.000000	43.886387	5245	0.000000
281474976710655.000000	43.288567	5246	0.000000
281474976710655.000000	61.546062	5247	0.000000
281474976710655.000000	40.879250	5248	0.000000
281474976710655.000000	45.354523	5249	0.000000
281474976710655.000000	44.089199	5250	0.000000
281474976710655.000000	54.041965	5251	0.000000
281474976710655.000000	43.696075	5252	0.000000
281474976710655.000000	44.420311	5253	0.000000
281474976710655.000000	43.594154	5254	0.000000
281474976710655.000000	44.287613	5255	0.000000
281474976710655.000000	43.479778	5256	0.000000
281474976710655.000000	38.923725	5257	0.000000
281474976710655.000000	52.619873	5258	0.000000
281474976710655.000000	41.134995	5259	0.000000
281474976710655.000000	47.684902	5260	0.000000
281474976710655.000000	36.427406	5261	0.000000
281474976710655.000000	42.861225	5262	0.000000
281474976710655.000000	42.201019	5263	0.000000
281474976710655.000000	36.659695	5264	0.000000
281474976710655.000000	37.533699	5265	0.000000
281474976710655.000000	48.340797	5266	0.000000
281474976710655.000000	43.075184	5267	0.000000
281474976710655.000000	42.004093	5268	0.000000
281474976710655.000000	35.244110	5269	0.000000
281474976710655.000000	43.888878	5270	0.000000
281474976710655.000000	41.811874	5271	0.000000
281474976710655.000000	52.298458	5272	0.000000
281474976710655.000000	44.691101	5273	0.000000
281474976710655.000000	42.844654	5274	0.000000
281474976710655.000000	43.711163	5275	0.000000
281474976710655.000000	34.297230	5276	0.000000
281474976710655.000000	48.060581	5277	0.000000
281474976710655.000000	44.760536	5278	0.000000
281474976710655.000000	47.131512	5279	0.000000
281474976710655.000000	34.518314	5280	0.000000
281474976710655.000000	39.898746	5281	0.000000
281474976710655.000000	33.138023	5282	0.000000
281474976710655.000000	56.326416	5283	0.000000
281474976710655.000000	33.515030	5284	0.000000
281474976710655.000000	43.568504	5285	0.000000
281474976710655.000000	42.250557	5286	0.000000
281474976710655.000000	42.478649	5287	0.000000
281474976710655.000000	34.618336	5288	0.000000
281474976710655.000000	35.065998	5289	0.000000
281474976710655.000000	40.507420	5290	0.000000
281474976710655.000000	44.328121	5291	0.000000
281474976710655.000000	36.457764	5292	0.000000
281474976710655.000000	38.493710	5293	0.000000
281474976710655.000000	40.048756	5294	0.000000
281474976710655.000000	41.035206	5295	0.000000
281474976710655.000000	42.696453	5296	0.000000
281474976710655.000000	39.936943	5297	0.000000
281474976710655.000000	43.406849	5298	0.000000
281474976710655.000000	42.365444	5299	0.000000
281474976710655.000000	40.459827	5300	0.000000
281474976710655.000000	46.827366	5301	0.000000
281474976710655.000000	42.744541	5302	0.000000
281474976710655.000000	38.449566	5303	0.000000
281474976710655.000000	42.996815	5304	0.000000
281474976710655.000000	41.301430	5305	0.000000
281474976710655.000000	35.158424	5306	0.000000
281474976710655.000000	41.087227	5307	0.000000
281474976710655.000000	40.653526	5308	0.000000
281474976710655.000000	45.316807	5309	0.000000
281474976710655.000000	43.710003	5310	0.000000
281474976710655.000000	41.850018	5311	0.000000
281474976710655.000000	35.238544	5312	0.000000
281474976710655.000000	35.592449	5313	0.000000
281474976710655.000000	41.291035	5314	0.000000
281474976710655.000000	44.287560	5315	0.000000
281474976710655.000000	33.529316	5316	0.000000
281474976710655.000000	43.825558	5317	0.000000
281474976710655.000000	35.973866	5318	0.000000
281474976710655.000000	40.372822	5319	0.000000
281474976710655.000000	40.068237	5320	0.000000
281474976710655.000000	40.103275	5321	0.000000
281474976710655.000000	37.210415	5322	0.000000
281474976710655.000000	44.547989	5323	0.000000
281474976710655.000000	46.949928	5324	0.000000
281474976710655.000000	33.910011	5325	0.000000
281474976710655.000000	40.205025	5326	0.000000
281474976710655.000000	39.477764	5327	0.000000
281474976710655.000000	37.808029	5328	0.000000
281474976710655.000000	31.519978	5329	0.000000
281474976710655.000000	35.464085	5330	0.000000
281474976710655.000000	38.439156	5331	0.000000
281474976710655.000000	44.147682	5332	0.000000
281474976710655.000000	33.463985	5333	0.000000
281474976710655.000000	33.211510	5334	0.000000
281474976710655.000000	43.312778	5335	0.000000
281474976710655.000000	34.923687	5336	0.000000
281474976710655.000000	32.870556	5337	0.000000
281474976710655.000000	37.207069	5338	0.000000
281474976710655.000000	49.251808	5339	0.000000
281474976710655.000000	49.646069	5340	0.000000
281474976710655.000000	39.598797	5341	0.000000
281474976710655.000000	43.130688	5342	0.000000
281474976710655.000000	49.601063	5343	0.000000
281474976710655.000000	39.374660	5344	0.000000
281474976710655.000000	36.762707	5345	0.000000
281474976710655.000000	40.457630	5346	0.000000
281474976710655.000000	36.449341	5347	0.000000
281474976710655.000000	34.446339	5348	0.000000
281474976710655.000000	38.742352	5349	0.000000
281474976710655.000000	48.972462	5350	0.000000
281474976710655.000000	32.839123	5351	0.000000
281474976710655.000000	36.454552	5352	0.000000
281474976710655.000000	41.088902	5353	0.000000
281474976710655.000000	42.646484	5354	0.000000
281474976710655.000000	42.975697	5355	0.000000
281474976710655.000000	32.790169	5356	0.000000
281474976710655.000000	34.332150	5357	0.000000
281474976710655.000000	38.458717	5358	0.000000
281474976710655.000000	38.529015	5359	0.000000
281474976710655.000000	36.484825	5360	0.000000
281474976710655.000000	30.587643	5361	0.000000
281474976710655.000000	36.500961	5362	0.000000
281474976710655.000000	36.055218	5363	0.000000
281474976710655.000000	37.443424	5364	0.000000
281474976710655.000000	36.329254	5365	0.000000
281474976710655.000000	36.807541	5366	0.000000
281474976710655.000000	37.265308	5367	0.000000
281474976710655.000000	39.154163	5368	0.000000
281474976710655.000000	37.165436	5369	0.000000
281474976710655.000000	32.300110	5370	0.000000
281474976710655.000000	41.974895	5371	0.000000
281474976710655.000000	31.856142	5372	0.000000
281474976710655.000000	31.441002	5373	0.000000
281474976710655.000000	33.283329	5374	0.000000
281474976710655.000000	33.168461	5375	0.000000
281474976710655.000000	36.133945	5376	0.000000
281474976710655.000000	32.862751	5377	0.000000
281474976710655.000000	38.710033	5378	0.000000
281474976710655.000000	35.760468	5379	0.000000
281474976710655.000000	34.954334	5380	0.000000
281474976710655.000000	41.170471	5381	0.000000
281474976710655.000000	38.010284	5382	0.000000
281474976710655.000000	44.506966	5383	0.000000
281474976710655.000000	38.987843	5384	0.000000
281474976710655.000000	37.542332	5385	0.000000
281474976710655.000000	34.720722	5386	0.000000
281474976710655.000000	45.856930	5387	0.000000
281474976710655.000000	45.247673	5388	0.000000
281474976710655.000000	37.111938	5389	0.000000
281474976710655.000000	41.208752	5390	0.000000
281474976710655.000000	38.874664	5391	0.000000
281474976710655.000000	37.427349	5392	0.000000
281474976710655.000000	42.582916	5393	0.000000
281474976710655.000000	36.546894	5394	0.000000
281474976710655.000000	32.187328	5395	0.000000
281474976710655.000000	38.358860	5396	0.000000
281474976710655.000000	40.393936	5397	0.000000
281474976710655.000000	32.659439	5398	0.000000
281474976710655.000000	37.671261	5399	0.000000
281474976710655.000000	35.926743	5400	0.000000
281474976710655.000000	37.000992	5401	0.000000
281474976710655.000000	36.548866	5402	0.000000
281474976710655.000000	36.467407	5403	0.000000
281474976710655.000000	32.478207	5404	0.000000
281474976710655.000000	30.722017	5405	0.000000
281474976710655.000000	31.716187	5406	0.000000
281474976710655.000000	33.503704	5407	0.000000
281474976710655.000000	31.392675	5408	0.000000
281474976710655.000000	32.200214	5409	0.000000
281474976710655.000000	33.777473	5410	0.000000
281474976710655.000000	33.986519	5411	0.000000
281474976710655.000000	36.488377	5412	0.000000
281474976710655.000000	36.196110	5413	0.000000
281474976710655.000000	31.263052	5414	0.000000
281474976710655.000000	35.453865	5415	0.000000
281474976710655.000000	37.630653	5416	0.000000
281474976710655.000000	32.658932	5417	0.000000
281474976710655.000000	35.587654	5418	0.000000
281474976710655.000000	32.203049	5419	0.000000
281474976710655.000000	34.972080	5420	0.000000
281474976710655.000000	33.061157	5421	0.000000
281474976710655.000000	34.415936	5422	0.000000
281474976710655.000000	35.903122	5423	0.000000
281474976710655.000000	38.570671	5424	0.000000
281474976710655.000000	31.209801	5425	0.000000
281474976710655.000000	42.022247	5426	0.000000
281474976710655.000000	31.661898	5427	0.000000
281474976710655.000000	30.399517	5428	0.000000
281474976710655.000000	40.819286	5429	0.000000
281474976710655.000000	37.912056	5430	0.000000
281474976710655.000000	31.091822	5431	0.000000
281474976710655.000000	40.057564	5432	0.000000
281474976710655.000000	35.196957	5433	0.000000
281474976710655.000000	34.860428	5434	0.000000
281474976710655.000000	36.458546	5435	0.000000
281474976710655.000000	38.574303	5436	0.000000
281474976710655.000000	34.617001	5437	0.000000
281474976710655.000000	33.716473	5438	0.000000
281474976710655.000000	33.568130	5439	0.000000
281474976710655.000000	33.202354	5440	0.000000
281474976710655.000000	31.595547	5441	0.000000
281474976710655.000000	34.246437	5442	0.000000
281474976710655.000000	35.352619	5443	0.000000
281474976710655.000000	37.032963	5444	0.000000
281474976710655.000000	34.457649	5445	0.000000
281474976710655.000000	32.869698	5446	0.000000
281474976710655.000000	31.164677	5447	0.000000
281474976710655.000000	30.822496	5448	0.000000
281474976710655.000000	34.998676	5449	0.000000
281474976710655.000000	35.510551	5450	0.000000
281474976710655.000000	30.328920	5451	0.000000
281474976710655.000000	33.967262	5452	0.000000
281474976710655.000000	33.970173	5453	0.000000
281474976710655.000000	32.383640	5454	0.000000
281474976710655.000000	36.042461	5455	0.000000
281474976710655.000000	29.387821	5456	0.000000
281474976710655.000000	32.568417	5457	0.000000
281474976710655.000000	43.473984	5458	0.000000
281474976710655.000000	31.190685	5459	0.000000
281474976710655.000000	29.805777	5460	0.000000
281474976710655.000000	32.143204	5461	0.000000
281474976710655.000000	38.185623	5462	0.000000
281474976710655.000000	37.843163	5463	0.000000
281474976710655.000000	30.384912	5464	0.000000
